बचाओ!	Help!
मुझे अपनी एक अटैची मिल नहीं रही है।	One of my bags is missing.
स्मॉग से पेड़-पौधों की मौत होती है।	Smog causes plants to die.
राजा ने अपनी ताकत का दुरुपयोग किया।	The king abused his power.
उसने दरवाज़े के पास एक कुत्ता देखा।	He saw a dog near the door.
जापानियों की आँखें कालीं होतीं हैं।	The Japanese have dark eyes.
क्या आपको पता है उसने क्या किया है?	Do you know what he has done?
मैं तुम्हारे साथ एक हद तक सहमत हूँ।	I agree with you to a degree.
मैं उसकी सुरक्षा के लिए परेशान हूँ।	I'm anxious about his safety.
सिक्कों को इकट्ठा करना मेरा शौक है।	My hobby is collecting coins.
राजा ने अपने दुश्मनों को कुचल दिया।	The king crushed his enemies.
तुम्हें फूलों में दिलचस्पी है क्या?	Are you interested in flowers?
उसकी नीली आखें हैं और गोरे बाल हैं।	He has blue eyes and fair hair.
उसने जैसे बताया था मैंने वैसे किया।	I did it the way he told me to.
चीन जापान से काफ़ी ज़्यादा बड़ा है।	China is much bigger than Japan.
चीन जापान से काफ़ी ज़्यादा बड़ा है।	China is much larger than Japan.
हमने बच्चे को बस पर चढ़ते हुए देखा।	We saw the child get on the bus.
तुम वहाँ बस से जाते हो या गाड़ी से?	Do you go there by bus or by car?
मुझे अपने आलसी होने पर शर्म आती है।	I am ashamed of having been lazy.
मुझे इसके बारे में कुछ भी नहीं पता।	I know nothing whatever about it.
मैंने कल रात एक प्रेम पत्र लिखा था।	I wrote a love letter last night.
बच्चों को दवाईयों से दूर रखना चहिए।	Keep children away from medicine.
अरे नहीं! पेट्रोल खतम होने वाला है।	Oh, no! We're running out of gas.
तुम अपने खाली समय में क्या करते हो?	What do you do in your free time?
उस तरह का आदमी मुझसे झिलता नहीं है।	A man like that gets on my nerves.
हम तुम्हारे साथ सैर करने चलें क्या?	May we accompany you on your walk?
मेरे दोस्तों ने मेरा जन्मदिन मनाया।	My friends celebrated my birthday.
यह साईकल तुम्हारे लिए बहुत छोटी है।	That bicycle is too small for you.
मुझे इस पहाड़ के बारे में जानना है।	I want to know about this mountain.
पिछले शनिवार से मौसम बहुत अच्छा है।	It has been fine since last Friday.
तूफ़ान ने पूरे नगर को नष्ट कर दिया।	The storm destroyed the whole town.
तूफ़ान ने पूरे शहर को तबाह कर दिया।	The storm destroyed the whole town.
तुम यह किताब मुफ़्त में ले सकते हो।	You can have this book for nothing.
मेरा जन्मदिन आज से एक महीने में है।	My birthday is one month from today.
हम एक दिन भारत का सफ़र करने जाएंगे।	Some day we'll take a trip to India.
उसने हल्के से उसके कंधे पर हाथ रखा।	He put a hand gently on her shoulder.
वह तुम्हारे सर के लिए बहुत छोटा है।	That's too small to fit on your head.
तुम्हारे दिमाग़ में यह बात कैसे आई?	What put such an idea into your head?
वह ज़रूरत से ज़्यादा पैसे कमाता है।	He earns more money than he can spend.
उसने मुझे उसकी गाड़ी नहीं चलाने दी।	He wouldn't allow me to drive his car.
मुझे उसके बयान की सच्चाई पर शक़ है।	I doubt the veracity of his statement.
उसकी माँ खाना बनाने में लगी हुई थी।	Her mother was busy cooking the dinner.
मैं आपकी मदद के लिए बहुत आभारी हूँ।	I am much obliged to you for your help.
मैं सारे सवालों का जवाब दे पाया था।	I was able to answer all the questions.
वह भारत के किसी गाँव में रह रही है।	She is living in some village in India.
वह सर से पांव तक कीचड़ में लतपत था।	He was covered in mud from head to foot.
अगर भूख लगी है तो ब्रेड खा सकते हो।	If you are hungry, you can eat the bread.
ख़रीदो या न ख़रीदो तुम्हारे ऊपर है।	It is up to you whether to buy it or not.
हमें मौत की सज़ा को हटा देना चाहिए।	We should do away with the death penalty.
मानो या न मानो, उसके तीन बच्चे हैं।	Believe it or not, she has three children.
मेरा पार्टी में आना ज़रूरी है क्या?	Is it necessary for me to attend the party?
कल जिसने खिड़की तोड़ी थी वह टॉम था।	It was Tom that broke the window yesterday.
उसका कलाकार बनने का सपना सच हो गया।	He realized his dream of becoming an artist.
जाने से पहले आग को भुजाना मत भूलना।	Be sure to put out the fire before you leave.
मुझे तुम्हें स्टेशन तक पहुँचाने दो।	Let me give you a lift as far as the station.
वह अपना काम खतम करते ही घर चला गया।	As soon as he finished his work, he went home.
मुझे अपना नाम और फ़ोन नम्बर बताईये।	Please tell me your name and telephone number.
वह पुलिस अफ़सर को देखते ही भाग गया।	The instant he saw the policeman, he ran away.
स्टेशन इन दो नगरों के बीच स्थित है।	The station is located between these two towns.
यह लिफ़्ट छटी मंज़िल तक ही जाती है।	This elevator does not go above the sixth floor.
वे जल्द-से-जल्द शादी करना चाहते थे।	They wanted to get married as soon as they could.
बहतर होगा कि तुम उससे सलाह न माँगो।	It would be better for you not to ask him for advice.
चीन की जनसंख्या भारत की से बड़ी है।	The population of China is larger than that of India.
यह वही चीज़ है जिसकी मुझे ज़रूरत है।	This is what I need.
उसने हमारा प्रस्ताव स्वीकार कर लिया।	He accepted our offer.
तुम्हें यह करने के लिए बताया गया था?	Were you told to do so?
मैं आपका पासपोर्ट देख सकता हूँ क्या?	Can I see your passport?
तुम अंग्रेज़ी नहीं बोल सकते हो क्या?	Can't you speak English?
उसे ज़ुकाम बहुत आसानी से हो जाता है।	He catches colds easily.
पुलीस ने टॉम को गिरफ़्तार किया क्या?	Did the police arrest Tom?
तुम परियों में विश्वास करते हो क्या?	Do you believe in fairies?
तुम परियों में विश्वास करती हो क्या?	Do you believe in fairies?
मैं अपनी माँ का इंतेज़ार कर रहा हूँ।	I'm waiting for my mother.
दूसरों की बुराई कभी नहीं करनी चाहिए।	Never speak ill of others.
हमने दरवाज़े को हरे रंग से पोत दिया।	We painted the door green.
तुम्हारा सबसे पसंदीता खाना कौनसा है?	What's your favorite food?
मैं आमतौर के मुकाबले में देर से आया।	I arrived later than usual.
उसने पिछले महीने टॉम से शादी करी थी।	She married Tom last month.
तुम्हारे पास मंगलवार को समय है क्या?	Do you have time on Tuesday?
मैं पिछले रविवार बाहर नहीं निकला था।	I didn't go out last Sunday.
मुझे नहीं पता कि टॉम को क्या पता है।	I don't know what Tom knows.
मुझे नहीं पता कि उन्हें क्या पता है।	I don't know what they know.
मेरी जीन्स पैंट धुलाई में सिकुड़ गई।	My jeans shrank in the wash.
डॉक्टर साहब, आपका बहुत बहुत धन्यवाद।	Thank you very much, doctor.
अपनी अंग्रेज़ी सुधारने की कोशिश करो।	Try to improve your English.
आप लोग यहाँ क्या करने के लिए आए हैं?	What have you come here for?
खाना खाने के बाद दाँतों को साफ़ करो।	Brush your teeth after meals.
खाना खाने के बाद दाँतों को ब्रश करो।	Brush your teeth after meals.
मुझे विज्ञान और गणित दोनों पसंद हैं।	I like both science and math.
मैंने उसके साथ तुम्हारा नाम लिया था।	I mentioned your name to him.
घूमफिरकर बात मत करो, सीधे-सीधे बोलो।	Stop beating around the bush.
वे संगीत के बारे में बात कर रहे हैं।	They are talking about music.
उसने वैसा करा जैसे उसे बताया गया था।	He did it as he had been told.
उसने मेरे जवान होने का फ़ायदा उठाया।	He took advantage of my youth.
उनके पास रहने के लिए कोई घर नहीं है।	They have no house to live in.
"अभी कितने बजे हैं? ""तीन बीस बजे हैं"""	"What time is it? ""It's 3:20."""
यहाँ पर कोई अंग्रेज़ी बोलता है क्या?	Does anyone here speak English?
लड़ने-झगड़ने से बात का हल नहीं होगा।	Fighting won't settle anything.
उसने उसे अकेले न जाने की चेतावनी दी।	She warned him not to go alone.
इस साल ज़्यादा बारिश नहीं हो रही है।	It isn't raining much this year.
मैं आपका पासपोर्ट देख सकता हूँ क्या?	May I see your passport, please?
संभवतः वह विख्यात कभी नहीँ हो पाएगा।	Perhaps he will never be famous.
वह उनके सवालों का जवाब नहीं दे सकता।	He cannot answer their questions.
मुझे घर के कामकाज में मदद करनी पड़ी।	I had to help with the housework.
मुझे देर से आने के लिए माफ़ कीजिएगा।	Please pardon me for coming late.
वह गरीब है, पर दिखने से खुश लगती है।	She is poor, but she looks happy.
उस लड़की को खतरे के बारे में पता था।	The girl was aware of the danger.
इतिहास की क्लास नौ बजे शुरू होती है।	The history class starts at nine.
इस किताब में बहुत सारी तस्वीरें हैं।	This book contains many pictures.
यह टाई मेरे सूट के साथ जचती नहीं है।	This tie doesn't go with my suit.
हाथी एशिया और अफ़्रीका में रहते हैं।	Elephants live in Asia and Africa.
मैं तुम्हें एक बात की सलाह देता हूँ।	Let me give you a piece of advice.
यहां डाक टिकटें नहीं बेची जातीं हैं।	Stamps are not sold in this store.
उसने मेरे बताए हुए से उलटा काम किया।	He did the reverse of what I asked.
मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।	I wish to go to Paris to study art.
मैं पैरिस जाकर आर्ट पढ़ना चाहती हूँ।	I wish to go to Paris to study art.
मेरी बहन को बच्चों से बहुत प्यार है।	My sister is very fond of children.
वह हफ़्ते में एक बार बाज़ार जाती थी।	She went to the market once a week.
उस मोटी औरत ने एक बंदर पकड़ा हुआ था।	The fat woman was holding a monkey.
उसके सामने इसके बारे में बात मत करो।	Don't talk about it in front of him.
उसने विदेश में पढ़ने का निर्णय लिया।	He made up his mind to study abroad.
उसने टूटे हुए टुकड़ों को वापस जोड़ा।	He stuck the broken pieces together.
जापान में सभी बच्चें स्कूल जाते हैं।	In Japan, all children go to school.
तुमने असली हीरा कभी देखा ही नहीं है।	You've never seen a genuine diamond.
उसने अपने बच्चों को अच्छी शिक्षा दी।	He gave his children a good education.
मुझे इस तरह का सोफ़ा नहीं खरीदना है।	I don't want to buy this kind of sofa.
उसने अपने बच्चों को कमरे में बुलाया।	She called her children into the room.
तुमने अपनी टी-शर्ट उलटी पहनी हुई है।	You are wearing your shirt inside out.
वह दो हफ़्तों में अपने-आप चला जाएगा।	It will go away by itself in two weeks.
आज से दो हफ़्तों के बाद फिरसे आईएगा।	Please come again two weeks from today.
वह उसकी कामयाबी की खबर सुनकर खुश था।	He was happy at the news of her success.
दिन ढल रहा है। तुम्हे घर जाना चाहिए।	It's getting dark. You'd better go home.
म्युज़ियम में ज़िन्दा जानवर नहीं हैं।	There are no live animals in the museum.
उनको दूर से बंदूक की आवाज़ सुनाई दी।	They heard a gun go off in the distance.
तुम्हे दोपहर में क्या करने का मन है?	What do you want to do in the afternoon?
"टीचर ने कहा, ""बस आज के लिए इतना ही।"""	"The teacher said, ""That's all for today."""
मैं तभी से उसकी देखभाल करता आया हूँ।	I have been taking care of him ever since.
लगातार तीन दिनों से बारिश हो रही है।	It has been raining for three days on end.
कि वह अम्रीका जाएगा, यह तो पक्का है।	It is definite that he will go to America.
वह इस तरह की बात पर गुस्सा क्यों है?	Why is he angry about something like that?
मुझे नीला वाला पसंद है, कितने का है?	I like the blue one. How much does it cost?
मुझे नीली वाली पसंद है, कितने की है?	I like the blue one. How much does it cost?
डॉक्टर ने उसे सिगरेट कम पीने को कहा।	The doctor told him to cut down on smoking.
हमने मामले की हर पहलू से छानबीन करी।	We investigated the matter from all angles.
फ़ोटोकॉपियर में कागज़ खतम हो गया है।	We've run out of paper for the photocopier.
दुनिया और-भी-और तेज़ी से बदल रही है।	The world is changing more and more quickly.
जब मैं वहाँ पहुँचा, वे जाने वाले थे।	They were about to leave when I arrived there.
ग्यारह बज चुके हैं। मुझे चलना चाहिए।	It's already eleven o'clock. I must be leaving now.
बैट और बॉल दोनो कल एकसाथ चोरी हो गए।	The bat was stolen yesterday, along with the balls.
मैं आपकी अच्छाई को कभी नहीं भूलूँगा।	I will never forget your kindness so long as I live.
परसों से बारिश रुक रुक के हो रही है।	It has been raining on and off since the day before yesterday.
मुझे जीव विज्ञान कभी भी पसंद नहीं था।	I never liked biology.
तुम कितनी देर से प्रतीक्षा कर रहे हो?	How long have you waited?
मेरी एक पुराने दोस्त से मुलाक़ात हुई।	I ran into an old friend.
मैं तुम्हारे साथ सफ़र करना चाहता हूँ।	I want to travel with you.
मैं तुम्हें फिरसे देखकर बहुत खुश हूँ।	I'm glad to see you again.
मेरे पिता ने सिगरेट पीना बंद कर दिया।	My father stopped smoking.
उसकी मेरी बहन के साथ सगाई हो चुकी है।	He is engaged to my sister.
यहाँ पर मुश्किल से कभी बारिश होती है।	It hardly ever rains there.
मुझे नहीं पता कि उसको पता है कि नहीं।	I don't know if he knows it.
मैंने अपना कमरा अभी अभी साफ़ किया है।	I have just cleaned my room.
अंग्रेज़ी बोलना मुश्किल होता है क्या?	Is it hard to speak English?
वह अपने बालों को जूड़े में बाँधती है।	She wears her hair in a bun.
मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ।	I'm catching the 11:00 train.
छोटी उम्र में मरना उसके भाग्य में था।	It was her fate to die young.
उससे बहस करने में कोई फ़ायदा नहीं है।	It's no use arguing with him.
क्या तुम मुझे चोरी करना सिखा सकते हो?	Can you teach me how to steal?
मेरे विचार से यह युक्तियुक्त नहीँ है।	I don't think it's reasonable.
मुझे लगा कि मुझे उसकी मदद करनी चाहिए।	I felt that I should help her.
इनसान सपने देखे बिना जी नहीं सकता है।	Man can't live without dreams.
आप अपनी गाड़ी यहाँ खड़ी नहीं कर सकते।	You cannot park your car here.
इस कविता का तुम क्या मतलब निकालते हो?	How do you interpret this poem?
वह हमेशा कोई नया काम आज़माती रहती है।	She always tries something new.
मैं चाहता हूँ कि तुम अपना वादा निभाओ।	I want you to keep your promise.
उसने विस्तृत रूप से अपनी योजना समझाई।	He explained his plans in detail.
उसने पत्थर को अपने हाथ में रखकर तोला।	He weighed the stone in his hand.
ऐसी कोई जगह है जहां आप जाना चाहते हो?	Is there anywhere you want to go?
इस दुर्घटना के लिए कौन ज़िम्मेदार है?	Who is to blame for the accident?
तुम्हे इस तरह की आदत तोड़ देनी चाहिए।	You must get rid of such a habit.
एक गिलहरी डालियों के बीच छुपी हुई थी।	A squirrel hid among the branches.
तुम बिजली से खाना पकाती हो या गैस से?	Do you cook by gas or electricity?
तुम यह कार्यक्रम देखना चाहते हो क्या?	Do you want to watch this program?
मैं इतनी महंगी किताब नहीं ख़रीद सकता।	I can't buy a book this expensive.
मैं आमतौर पर छः बजे तक घर आ जाता हूँ।	I usually get home by six o'clock.
मेरी को अपनी सुंदरता पर बहुत नाज़ था।	Mary prided herself on her beauty.
वह सही-ग़लत में अंतर करना नहीं जानता।	He has no sense of right and wrong.
तुम्हे अकेले रहना अच्छा लगता है क्या?	How do you like living on your own?
मैंने उसे बहुत दिनों से नहीं देखा है।	I haven't seen him for a long time.
मैंने जर्मन की बजाय फ़्रानसीसी सीखी ।	I learned French instead of German.
तुम्हे इस मौके का फ़ायदा उठाना चाहिए।	You should make use of this chance.
मेरे परिवार में हर कोई जल्दी उठता है।	Everyone in my family gets up early.
सुनिए, आस-पास में कोई टॉयलेट है क्या?	Excuse me, is there a toilet nearby?
वह रूसी बोलना और लिखना दोनो जानता है।	He can both speak and write Russian.
बच्चे पर ध्यान रखना थोड़ी देर के लिए।	Keep an eye on the baby for a while.
सोचो कि तुम्हारे पास एक टाइम मशीन है।	Imagine that you have a time machine.
कम्पनी ने कितनी गाड़ियाँ ख़रीदीं हैं?	How many cars has that company bought?
मैंने खुद से गिटार बजाना सीख लिया है।	I've taught myself to play the guitar.
वह बीमारी की वजह से बाहर नहीं जा सका।	Sickness prevented him from going out.
उसने अपने दफ़तर के पैसों को गबन किया।	He embezzled the money from his office.
मुझे अम्रीकी साहित्य में दिलचस्पी है।	I am interested in American literature.
मैं उससे कल दोपहर को मिलना चाहता हूँ।	I'd like to see him tomorrow afternoon.
अब तो उसे कोई चमत्कार ही बचा सकता है।	Nothing but a miracle can save her now.
यह लड़का मेरा छाता नहीं चुरा सकता था।	The boy cannot have stolen my umbrella.
कनाडा में कौनसी भाषाएं बोली जाती हैं?	What languages do they speak in Canada?
इस तरह की आम कहावत को कौन नहीं जानता?	Who doesn't know such a simple proverb?
तुम्हें कॉनसर्ट की टिकटें कैसे मिलीं?	How did you get tickets for the concert?
मैं निराश था कि तुमने फ़ोन नहीं किया।	I was disappointed that you didn't call.
मैं तुम्हें एक-दो दिन में जवाब दूँगा।	I'll give you an answer in a day or two.
उसे टीवी पर टेनिस देखना बहुत पसंद है।	She loves watching tennis matches on TV.
मुझे तुमसे किसी बारे में बात करनी है।	There's something we need to talk about.
हमने एक साथ फ़िल्म देखी और खाना खाया।	We saw the film and had dinner together.
तुम्हारी घड़ी अब क्या समय बता रही है?	What time does your watch say it is now?
मैं आपके अच्छेपन को कभी नहीं भूलूँगा।	I'll never forget how kind you have been.
मेरा भाई अक्सर पूरी रात जागे रहता था।	My brother would often stay up all night.
उसकी निराशा सभी आसानी से दिख सकते थे।	His disappointment was obvious to everyone.
मुझे परिस्तिथि के बदतर होने का डर है।	I am afraid of the situation getting worse.
आपको आपकी सगाई पर बहुत बहुत बधाईंयाँ।	Let me congratulate you on your engagement.
कुछ लोग संविधान को सुधारना चाहते हैं।	Some people want to amend the constitution.
मुझे तुमको यह बात समझाना नामुमकिन है।	It's impossible for me to explain it to you.
उसकी निराशा सभी आसानी से दिख सकते थे।	Everyone could easily see his disappointment.
वह खेत पर सुबह से शाम तक काम करता है।	He works on the farm from morning till night.
मेरा कल मेरे भाई के साथ झगड़ा हुआ था।	I had a fight with my older brother yesterday.
मेरी कल मेरे भाई के साथ लड़ाई हुई थी।	I had a fight with my older brother yesterday.
उसके दिए गए कारण को समझना मुश्किल है।	The reason which he gave is hard to understand.
हज़ारों विदेशी हर साल जापान जाते हैं।	Thousands of foreigners visit Japan every year.
जंगल में रहते समय उसे मलेरिया हो गया।	He contracted malaria while living in the jungle.
लंदन के लोगों को इस ब्रिज पर गर्व है।	The people of London are very proud of this bridge.
कल का मौसम कैसा होगा कहना मुश्किल है।	It's hard to say what the weather will be like tomorrow.
छत पर घूरने के बजाए उपन्यास ही पढ़लो।	You might as well read a novel instead of staring at the ceiling.
हमने उसके प्रस्ताव को स्वीकार कर लिया।	We accepted his offer.
तुम्हारे बाल कुछ ज़्यादा ही लम्बे हैं।	Your hair is too long.
हो सके तो मैं उससे मिलना नहीं चाहूँगा।	I'd rather not meet him.
हो सके तो मैं उससे मिलना नहीं चाहूँगी।	I'd rather not meet him.
जब बारिश होती है, तो ज़बरदस्त होती है।	When it rains, it pours.
तुम्हें यहाँ इंतेज़ार नहीं करना चाहिए।	You shouldn't wait here.
उसने अपनी बंदूक का निशाना मुझपर लगाया।	He leveled his gun at me.
माफ़ किजिए, पर मैं आपसे सहमत नहीं हूँ।	I beg to differ with you.
मैं तुम्हें थोड़ी देर में फ़ोन करूँगा।	I'll call you back later.
यह तुम्हारी सेहत के लिए अच्छा नहीं है।	It's not healthy for you.
मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।	I'll be there at five p.m.
हम आपकी रक्षा करने के लिए यहाँ आए हैं।	We're here to protect you.
मुझे समझ में नहीं आ रहा कि क्या पढ़ूँ।	I don't know what to study.
वह मुझसे ग़ुलाम की तरह बर्ताव करता है।	He treats me like his slave.
जवाब न देना भी एक तरह का जवाब होता है।	No answer is also an answer.
उसका लम्बा भाषण सुनकर हम सब बोर हो गए।	His long speech bored us all.
गाड़ी फ़ोन के खम्बे से जाकर भिड़ पड़ी।	The car hit a telephone pole.
इस स्कूल में बहुत सारे विद्यार्थी हैं।	This school has many students.
क्या तुम्हारे पास अपना खुद का कमरा है?	Do you have a room of your own?
आस्ट्रेलिया में अंग्रेजी बोली जाती है।	English is spoken in Australia.
छत पर जो चिड़िया बैठी है वह एक कौआ है।	The bird on the roof is a crow.
उसने आखिरकार सवाल का जवाब ढूँढ निकाला।	At last, he solved the question.
उसको इस कब्रिस्तान में दफ़नाया गया था।	He was buried in this graveyard.
मैं हर रविवार अपना कमरा साफ़ करता हूँ।	I clean up my room every Sunday.
उन्होंने डूबते हुए जहाज़ को छोड़ दिया।	They abandoned the sinking ship.
वह स्कूल जाने के लिए अभी बहुत छोटी है।	She is too young to go to school.
उसने पार्टी में न जाने का फ़ैसला किया।	He decided not to go to the party.
वह एक बार में घंटो के लिए लिख सकता है।	He will write for hours at a time.
उसको अपने पुराने कपड़ो पर शर्म आती है।	She is ashamed of her old clothes.
बहुत कम लोग अपनी गलतियों को मानते हैं।	Few people will admit their faults.
उसने हमसे बहुत देर तक इंतेज़ार करवाया।	He kept us waiting for a long time.
मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।	I am married and have two children.
टॉम को ढूँढने में समय नहीं लगना चाहिए।	It shouldn't take long to find Tom.
मेरा भाई पैसों के लिए मुझपर निर्भर है।	My brother depends on me for money.
उसने मुझपर ग़लती करने का इलज़ाम लगाया।	She accused me of making a mistake.
उसे किसी से भी बात करने का मन नहीं था।	She didn't want to speak to anyone.
तुम्हे इस मौके को गवा नहीं देना चाहिए।	You should make use of this chance.
तुम कोई दिलचस्प किताब पढ़ रहे हो क्या?	Are you reading an interesting book?
तुम कोई दिलचस्प किताब पढ़ रही हो क्या?	Are you reading an interesting book?
वह हमेशा अपनी टीचर की शिक़ायत करती है।	She always complains of her teacher.
डॉक्टर ने उसे सिगरेट न पीने की सलह दी।	The doctor advised him not to smoke.
क़ानून के मुताबिक सभी मनुष्य समान हैं।	The law says that all men are equal.
क्योटो में बहुत सारे पुराने मंदिर हैं।	There are many old temples in Kyoto.
उसमें उसके पिता जितनी बेसब्री नहीं थी।	He is less impatient than his father.
मैं बड़े पैमाने पर व्यापार कर रहा हूँ।	I am doing business on a large scale.
मैं अपनी वर्तमान आमदनी से संतुष्ट हूँ।	I'm satisfied with my current income.
बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।	Turn left and you will find the cafe.
न उसको फ़्रानसीसी बोलनी आती है न मुझे।	He doesn't speak French, neither do I.
मैं मोहन के साथ गेंद खेलने जा रहा हूँ।	I am going to go play ball with Mohan.
मुझे मालूम नहीं कल बारिश होगी या नहीं।	I don't know if it will rain tomorrow.
अपने छाते को सामने वाले द्वार छोड़ दो।	Leave your umbrella at the front door.
मेरी माँ ने बिस्तर पर साफ़ चादर बिछाई।	My mother put clean sheets on the bed.
मुश्किल यह है कि उनके पास समय नहीं है।	The trouble is that they have no time.
फिर मैं उससे उसके बारे में कल पूछूँगा।	I will ask him about it tomorrow, then.
मैं अपना कर्ज़ जल्द-से-जल्द चुकताऊँगा।	I will pay my debt as soon as possible.
मेरे पिता मेरे विदेश जाने से राज़ी थे।	My father consented to my going abroad.
यह महाशय बहुत जाने-माने पियानिस्ट हैं।	The gentleman is a very famous pianist.
इन दोनो में से ज़्यादा महंगा कौनसा है?	Which is the more expensive of the two?
तुम्हारी जुर्रत कैसे हुई यह बोलने की?!	You've got a nerve to say such a thing!
मुझे भरोसा है कि वह अपना वादा निभाएगा।	I am confident he will keep his promise.
मुझे बाहर जाने से घर में रहना पसंद है।	I would rather stay at home than go out.
बिगड़े हुए बच्चों को खुश नहीं कर सकते।	There is no satisfying spoiled children.
तुम्हें आज सुबह भूकम्प महसूस हुआ क्या?	Did you feel the earthquake this morning?
मेरा आज अंग्रेज़ी पढ़ने का मन नहीं है।	I don't feel like studying English today.
हमारे लिए उसका घर ढूँढना आसान नहीं था।	It was not easy for us to find his house.
इस परिस्थिति में कठोर कदम उठाने होंगे।	The situation calls for drastic measures.
वह भारत और चीन दोनो में बहुत मशहूर है।	She is well known in both India and China.
मैंने रहने की बजाय जाने का इरादा किया।	I chose to leave instead of staying behind.
उसको बहुत सारे अंग्रेज़ी शब्द आते हैं।	She has a rich vocabulary of English words.
डॉक्टर ने उसको छुट्टी लेने की सलाह दी।	The doctor advised that she take a holiday.
सरकार शिक्षा को सुधारने मे लगी हुई है।	The government has been reforming education.
मैं उसकी सलाह की वजह से कामयाब हो गया।	Because of his advice, I was able to succeed.
मैं घर पहुँचते ही तुम्हें फ़ोन करूँगी।	I will give you a call as soon as I get home.
हमने मान लिया था कि वह हमारे साथ आएगा।	We took it for granted that he would join us.
मैं नहीं चाहता कि कोई भी ग़लतफ़ैमी हो।	I don't want there to be any misunderstanding.
अम्रीका को इंग्लैंड से आज़ादी कब मिली?	When did America become independent of England?
मैं उसकी अचानक मौत की खबर से चौंक गया।	I was surprised at the news of his sudden death.
वे टैक्स सुधार क़ानून के पक्ष में हैं।	They are in favor of the reform of the tax laws.
वह चिट्ठी पढ़ने के समय दुखी लग रही थी।	When she was reading the letter, she looked sad.
मैंने दोपहरभर अपने दोस्तों से गप मारी।	I spent the whole afternoon chatting with friends.
मुझे यह तस्वीर जल्द-से-जल्द बनवानी है।	I want this photograph developed as soon as possible.
इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।	The number of fish caught in this river was very small.
जो पैसे भर चुकें हैं, उनके नाम काट दो।	Cross off the names of the people who have paid their dues.
मुझे किसी के खटखटाने की आवाज़ सुनाई दी।	I heard someone knocking.
उसने दुर्घटना को अपनी आँखों से देखा था।	He witnessed the accident.
मैं इस कोटे तक भला कैसे पहुंच सकता हूँ?	How can I meet this quota?
उसने सिगरेट पीना छोड़ने का फ़ैसला किया।	He decided to quit smoking.
वह बुखार के साथ बिस्तर में लेटी हुई है।	She is in bed with a fever.
मेरी बात ने उसके अभिमान पर चोट पहुँचाई।	What I said hurt his pride.
मेरा जन्म सन १९७७ में ओसाका में हुआ था।	I was born in Osaka in 1977.
मेक्सिको में स्पैनिश बोली जाती है क्या?	Is Spanish spoken in Mexico?
उस बड़े डब्बे को कोई भी नहीं हिला सकता।	No one can move the big box.
किसी ने भी मेरे सवाल का जवाब नहीं दिया।	Nobody answered my question.
उसने अपने बेटे को कान से पकड़ कर खींचा।	He pulled his son by the ear.
इस कविता क्या आप क्या अर्थ निकालते हैं?	How do you interpret this poem?
कमरा नम्बर पंद्राह में तौलिये नहीं हैं।	There are no towels in room 15.
यह ट्रेन बॉस्टन के लिए रवाना हो रही है।	This train is bound for Boston.
माफ़ कीजिए पर हम आपकी मदद नहीं कर सकते।	We are sorry we can't help you.
क्या आप हमारे साथ खाना खाने नहीं आएंगे?	Won't you come to dine with us?
उसको इस कब्रिस्तान में बरी किया गया था।	He was buried in this graveyard.
मेरे पापा को गर्मी के मौसम से नफ़रत है।	My father hates the summer heat.
वह अपने बाल महीने में एक बार कटवाता है।	He has his hair cut once a month.
तुम आमतौर पर कितने बजे काम से छूटते हो?	When do you usually get off work?
तुम्हे उसने गप मारने की ज़रूरत नहीं है।	You don't have to chat with them.
आखिरकार उसको उसकी ग़लतियाँ समझ में आईं।	At last, he realized his mistakes.
मैंने अपने भाई से अपनी साईकल ठीक करवाई।	I had my brother repair my bicycle.
मेरा उस ग्रुप के साथ कोई संबंध नहीं था।	I had nothing to do with the group.
जितना तुम सोच रहे हो उतना आसान नहीं है।	It's more difficult than you think.
विदेषी भाषा सीखना बहुत मज़ेदार होता है।	Learning a foreign language is fun.
