वह डॉक्टर नहीं है।	She's not a doctor.
वह चिट्ठी पढ़ने के समय दुखी लग रही थी।	When she was reading the letter, she looked sad.
उसने किताब को फाड़ डाला।	He tore the book apart.
वह बस अभी आता होगा।	He will soon come back.
मैं हर दूसरे दिन नहाता हूँ।	I take a bath every other day.
यह वही किताब है जिसे मैं पढ़ना चाह्ता था।	This is the very book that I wanted to read.
क़ुतुब मीनार और लाल किला दिल्ली में हैं।	The Qutub Minar and Red Fort are in Delhi.
मैं वहाँ शाम के पाँच बजे पहुँच जाऊँगा।	I'll be there at five p.m.
बौद्ध धर्म भारत में पैदा हुआ था।	Buddhism had its beginnings in India.
मछली बाज़ार में कैसा चल रहा है?	How is it going in the fish market?
उसने मेरे बताए हुए से उलटा काम किया।	He did the reverse of what I asked.
बाग के सारे फूल पानी की कमी की वजह से मर गए।	All the flowers in the garden died for lack of water.
उसे जो डब्बा मिला वह खाली था।	The box he found was empty.
हम चाय चीनी के साथ लेते हैं।	We drink our tea with sugar.
माफ़ कीजिएगा, मैं खो गई हूँ।	Excuse me, I'm lost.
मुझे परीक्षा की तैयारी करने के लिए कम-से-कम दस घंटे लगेंगे।	It will take me no less than 10 hours to prepare for the exam.
जब मैं छोटा था मैं हमेशा जल्दी सोकर उठा करता था।	I always got up early in my childhood.
मैं सारे सवालों का जवाब दे पाया था।	I was able to answer all the questions.
मैं कल कनाडा वापस आऊँगा।	I will come back to Canada tomorrow.
मैंने गाड़ी को कल ठीक किया था।	I fixed the car yesterday.
क्या आप मुझे बता सकते हैं कि यह किस नाप का है?	Can you tell me what size this is?
तुम्हे इतना जल्दी आने की ज़रूरत नहीं थी।	You didn't have to come so early.
मैं लगभग हर रोज़ नहाता हूँ।	I take a bath almost every day.
मुझे बहुत दिलचस्प लगती है!	It seems interesting to me.
वह तुमसे प्यार करता होगा।	He must love you.
उसने मुझसे वादा किया था कि वह आगे से ज़्यादा सावधान रहेगा।	He promised me that he would be more careful in the future.
क्या यह किताब तुम्हारी है?	Is this book yours?
कम्पनी ने उसकी सेवाओं की पहचान में उसे सोनी की घड़ी दी।	The company gave him a gold watch in acknowledgement of his services.
मेरे ताऊजी क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
मेरे चाचा क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
मेरे मामा क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
मेरे अंकल क्रिकेट के शौकिया खिलाड़ी हैं।	My uncle is an amateur cricket player.
मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या?	Can I use your pencil?
मैं आपका फ़ोन इस्तेमाल कर सकता हूँ क्या?	Could I please use your phone?
मैं आज घर साफ़ करने के बजाय सैर करने जाऊँगी।	Instead of cleaning the house today, I think I'll take a walk.
तुम दो तीन दिनों में फिरसे ठीक हो जाओगे।	You will be all right again in a couple of days.
उसने अचानक से दरवाज़ा बंद किया।	He closed the door suddenly.
हम जंगल में सैर करने गए थे।	We went for a walk in the forest.
मुझे अपने पैसे वापस चाहिए।	I'd like to get a refund.
तुम दो तीन दिनों में फिरसे ठीक हो जाओगी।	You will be all right again in a couple of days.
तुम आमतौर पर कितने बजे काम से छूटते हो?	When do you usually get off work?
अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।	We are responsible for your protection from now on.
क्या तुम मुझे चोरी करना सिखा सकते हो?	Can you teach me how to steal?
तुम कितनी देर से प्रतीक्षा कर रहे हो?	How long have you waited?
मुझे बहुत मज़ेदार लगती है!	It seems interesting to me.
कल मेरा जन्मदिन है, और मैं सत्रह साल की हो जाऊँगी।	Tomorrow is my birthday and I will be seventeen.
क्या मैं दरवाज़ा खोल सकता हूँ?	Would you mind my opening the door?
यह रंग पसंद है क्या?	Do you like this color?
आप किसी को बिस्तर बनाने के लिए भेज सकते हैं क्या?	Could you send someone up to make the bed?
क्या ये जूते मेरे नाप में भी मिल सकते हैं?	Do you have these shoes in my size?
मोर की पूंछ के पंख रंग-बिरंगी होते हैं।	The male peacock has colorful tail feathers.
हमे लोगों की पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।	We must not speak ill of others behind their backs.
वे अभी व्यस्थ हैं और आपसे बात नहीं कर सकतीं हैं।	She is busy at present and can't speak to you.
तुम गाड़ी चला सकते हो क्या?	Can you drive a car?
हम इस विषय पर सहमत हैं।	We are in agreement on this subject.
मुझे अपना पता बतादेना।	Let me know your address.
जो तुमने मेरे कंजूस होने के बारे में कहा था, उस बात को वापस लो।	Take back what you said about me being stingy.
मेरे ख़याल से विदेशी भाषाएँ बहुत ही दिलचस्प होतीं हैं।	I find foreign languages very interesting.
उसने मुझे अपनी नई गाड़ी दिखाई।	She showed me her new car.
मक्खन और पनीर दूध से बनते हैं।	Butter and cheese are made from milk.
असली और नकली हीरों में क्या फ़र्क होता है?	What is the difference between imitation and real diamonds?
वह कभी-कभी उससे भारत की बात करने की कोशिश किया करती थी।	Sometimes she tried talking to him about India.
तुमने मेरे सामान के साथ क्या किया?	What did you do with my baggage?
मैं मेट्रो लेकर स्कूल जाती हूँ।	I go to school by subway.
थोड़ी ऊँची आवाज़ में बोलिए।	Please speak in a louder voice.
मुझे ट्राए करने दो।	Let me try it.
हमे यहाँ हफ़्ते में एक बार मिलना चाहिए।	Let's get together here once a week.
दुनिया में ऐसी कोई भी चीज़ नहीं है जिसपर सूरज का असर न पड़ता हो।	There is nothing on earth that is not affected by the sun.
तुम्हे इस किताब का अनुवाद करने में कितना समय लगा?	How long did it take you to translate this book?
हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।	We talked to each other for a while.
हम जल्दबाज़ी में ट्रेन स्टेशन गए।	We hurried to the train station.
मैं दस बजे वापस आऊँगा।	I'll be back at ten.
मुझे विज्ञान और गणित दोनों पसंद हैं।	I like both science and math.
मैंने एक साल के लिए सिगरेट पीना छोड़ दिया था।	I gave up smoking for a year.
घायल आदमी को इस कंबल से ढक दो।	Cover up the injured man with this blanket.
मुश्किल क्या है?	Where is the problem?
अगर मेरा बेटा ट्रेफ़िक हादसे में नहीं मारा गया होता, तो वह अभी कॉलेज जा रहा होता।	If my boy had not been killed in the traffic accident, he would be a college student now.
मैं चाहता हूँ कि तुम अपना वादा निभाओ।	I want you to keep your promise.
उसने छः बरस के बच्चे की तरह रोया।	He cried as if he were a boy of six.
उसने अपने दुख को अपनी मुस्कुराहट के पीछे छिपा लिया।	He hid his sadness behind a smile.
अगर मैं नहीं आ पाया तो तुम्हें पहले फ़ोन करके बतादूँगा।	In case I can’t come, I’ll give you a call beforehand.
जुड़वा बहनें एक-दूसरे से इतनी मिलती-जुलतीं हैं कि मैं उनमें फ़र्क नहीं बता सकती।	The twin girls are so much alike that I can't tell one from the other.
अब मेरे पास बहुत थोड़े पैसे हैं।	I have little money now.
इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।	The number of fish caught in this river was very small.
आज से दो हफ़्तों के बाद फिरसे आईएगा।	Please come again two weeks from today.
किसी और ने मदद करने की इच्छा प्रकट नहीं करी।	Nobody else offered to help.
माफ़ कीजिए पर हम आपकी मदद नहीं कर सकते।	We are sorry we can't help you.
उसने हल्के से उसके कंधे पर हाथ रखा।	He put a hand gently on her shoulder.
तुम अच्छी और बुरी अंग्रेज़ी में कैसे अंतर कर सकते हो?	How can you tell good English from bad English?
अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।	I fell down the stairs in my haste.
तुम्हारे बदले मैं वहाँ जाऊँगा।	I will go there in place of you.
वह पुलिस अफ़सर बन गया।	He became a police officer.
आप अपनी गाड़ी यहाँ खड़ी नहीं कर सकते।	You cannot park your car here.
विष्व में ऐसी कोई भी वस्तु नहीं है जिसपर सूर्य का प्रभाव न पड़ता हो।	There is nothing on earth that is not affected by the sun.
वह माने या न माने उससे कुछ फ़र्क नहीं पड़ता।	It doesn't matter whether he agrees or not.
वह खाना न तो आदमी न जानवर को खिलाने लायक था।	The food was not fit for man or beast.
मैं आमतौर पर छः बजे तक घर आ जाता हूँ।	I usually get home by six o'clock.
हम संगीत की पढ़ाई करते हैं।	We study music.
यह पैसा ज़रूरतमंदों में बाँट देना चाहिए।	The money should be distributed to those in need.
उसने बुरे वक्त के लिए पैसे बचाए।	She saved money for a rainy day.
उसकी अपने पहले पति से एक लड़की थी।	She had a daughter by her first husband.
उसने मेज़ पर रखे हुए कपों में कॉफ़ी डाली।	She poured coffee into the cups on the table.
"उसने अपने आप से कहा: ""मैं बहुत खुश हूँ"""	"She said to herself, ""I am very happy."""
उसको नौकरी नहीं मिल पायी।	He couldn't get the job.
गाँव में सीधे जाते रहिए।	Keep going straight through the village.
मुझे एक कप चाय दीजिए।	Please give me a cup of tea.
मैं रोज़ बीस मील चलता हूँ।	I cover twenty miles a day.
मै फिर से कोशिश करता हूँ।	Let me try again.
मेरी मुर्गियों ने पिछले साल के मुकाबले से कम अंडे दियें हैं।	My hens laid fewer eggs last year.
तुम लंदन से कब वापस आए?	When did you get back from London?
आलूओं को काटो।	Cut the potatoes.
तू कभी भी मदद क्यों नहीं करता है?	Why don't you ever help?
आप विदेश में किता समय रहे हैं?	How long have you been abroad?
आप लोग यहाँ क्या करने के लिए आए हैं?	What have you come here for?
तुम्हे अपने समय का ठीक से इस्तेमाल करना चाहिए।	You should make good use of your time.
मुझे एक गिलास पानी देदीजिए।	Please give me a glass of water.
मुझसे यह शोर और बर्दाश्त नहीं किया जाएगा।	I can't put up with that noise any longer.
कल मेरा जन्मदिन है, और मैं सत्रह साल का हो जाऊँगा।	Tomorrow is my birthday and I will be seventeen.
इस चिड़िया का नाम क्या है?	What is the name of this bird?
मुझे अब जाना होगा।	I must leave now.
मैंने किसी को पीछे से मेरे नाम पुकारते हुए सुना।	I heard someone call my name from behind.
आप गलत ट्रेन पर हैं।	You are on the wrong train.
और-तो-और वह बीमार भी पड़ गया।	To make matters worse, he fell ill.
इस पक्षी का नाम क्या है?	What do you call this bird?
तुम दोनो क्या कर रहे हो?	What're you two doing?
खरगोश के कान लम्बे होते हैं।	A rabbit has long ears.
बिस्तर से बाहर निकलो!	Get out of bed!
अम्रीका को इंग्लैंड से आज़ादी कब मिली?	When did America become independent of England?
तुम यह कार्यक्रम देखना चाहते हो क्या?	Do you want to watch this program?
बच्चों को दवाईयों से दूर रखना चहिए।	Keep children away from medicine.
तुम चलने के लिए तैयार कब होगे?	When will you get ready to leave?
मुझे स्टेशन के बाहर अपना एक पुराना दोस्त मिल गया।	I ran into an old friend of mine outside the station.
यह महाशय बहुत जाने-माने पियानिस्ट हैं।	The gentleman is a very famous pianist.
मेरा कल मेरे भाई के साथ झगड़ा हुआ था।	I had a fight with my older brother yesterday.
मैं उसका दोस्त हूँ और रहूँगा।	I am his friend and will remain so.
हमारी मुलाकात ग़लती से हो गई।	Our meeting was quite accidental.
तुम टीवी देखने में काफ़ी समय बरबाद कर रहे हो।	You're spending too much time watching TV.
ग़लतियाँ करने से मत डरो।	Don't be afraid of making mistakes.
मेरे पिताजी मेरे सबसे बड़े प्रेरणा के स्रोत हैं।	My father is my biggest source of inspiration.
जाने से पहले आग को भुजाना मत भूलना।	Be sure to put out the fire before you leave.
टॉम अभी गाड़ी नहीं चला सकता।	Tom isn't able to drive yet.
क्या तुम बीमार हो?	Are you sick?
दरवाज़े को बंद कर दीजिए।	Please close the door.
जब तक मेरी दवाई तैयार नहीं होती मैं यहीं इंतेज़ार करूंगी।	I'll wait here until my medicine is ready.
मुझे अपनी कौपी दिखाईए।	Please show me your notebook.
तुम साथ आना चाहते हो क्या?	Do you want to come along?
मुझे कल रात एक बहुत अजीब सपना आया।	I had a strange dream last night.
मेरे सिगरेट पीने पर आपको आपत्ति तो नहीं होगी?	Would you mind if I smoke?
यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।	This is the village where my father was born.
यहां डाक टिकटें नहीं बेची जातीं हैं।	Stamps are not sold in this store.
जंग की वजह से बहुत सारे लोग मर गए।	As a result of the war, many people died.
आपको ऐमब्यूलेंस की ज़रूरत है क्या?	Do you need an ambulance?
मैं यहाँ एक-दो दिन रहूँगा।	I am going to stay here for a couple of days.
अपने हाथ अच्छे से धोओ।	Wash your hands well.
क्या कहानी है?	What's the story?
मुझे बताओ तुम किस चीज़ की आशा कर रहे हो।	Tell me what you are looking forward to.
वह मेरे लिए एक नन्हा सा खिलौना खरीद लाई।	She got me a tiny toy.
तुम्हें आसमान में बहुत सारे सितारे दिखाई देंगे।	You can see a lot of stars in the sky.
उसने लगभग रोज़ मुझे फ़ोन किया।	He called me up almost every day.
मुझे नीली वाली पसंद है, कितने की है?	I like the blue one. How much does it cost?
बच्चा की नींद आधी रात में खुल गई।	The baby woke up in the middle of the night.
अस्पताल में मुझसे बहुत देर तक इन्तज़ार करवाया गया।	I was kept waiting for a long time at the hospital.
तुम कल इस समय क्या कर रहे होगे?	What will you be doing at this time tomorrow?
उसने कहा था कि वह मुझसे अगले दिन मिलेगा।	He said he would see me the next day.
उसने अपने बेटे के लिए बड़ी जायदाद छोड़ी।	He left a large fortune to his son.
फ़्रांस की महिलाये खूबसूरत हैं।	The women of France are beautiful.
मैं टीवी देख देखकर थक गया हूँ।	I'm tired of watching television.
टॉम और मैं दोनों वहाँ रहेंगे।	Tom and I'll both be there.
उसको मेरी कामयाबी से जलन थी।	He envied my success.
उसने उसे एक घड़ी दी।	She gave him a watch.
नया क्या है?	What's new?
क्या नया है?	What's new?
वह इस क्लब का सदस्य पाँच साल पहले बना था।	He became a member of this club five years ago.
उस आदमी ने मुझे सर पर मारा।	The man hit me on the head.
मैंने दस साल की उम्र में ही गिटार बजाना सीख लिया था।	I learned to play guitar when I was ten years old.
गाड़ी फ़ोन के खम्बे से जाकर भिड़ पड़ी।	The car hit a telephone pole.
इस द्वीप पर बहुत कम लोग रहते हैं।	Few people live on the island.
मैं वहाँ दसियों बार जा चुका हूँ।	I went there dozens of times.
उस सूपरमार्केट में तुम लगभग कोई भी रोजाने में इस्तेमाल होने वाला सामान ख़रीद सकते हो।	If you go to that supermarket, you can buy most things you use in your daily life.
उन्हें एक-दूसरे से प्यार हो जाएगा।	They will fall in love with each other.
अपने हाथ इस तौलिए से पोंछो।	Wipe your hands with this towel.
सारे पंछी उड़ नहीं सकते।	Not all birds can fly.
उसने उसका प्रस्ताव खुशी से स्वीकार कर लिया।	She gladly accepted his proposal.
उसे पैसे चुराने के लिए गिरफ़्तार कर लिया गया।	He was arrested because he stole the money.
कृपया धीमी आवाज़ में बात कीजिए।	Please speak in a low voice.
लंदन में धुंध छा गई थी।	The haze enveloped London.
तापमान क्या है?	What's the temperature?
इसमें क्या है?	What does it contain?
मेरे पिता अपने शौक पर बहुत समय खर्च करते हैं।	My father spends a lot of time on his hobby.
मुझसे आपको यह संदेश देने के लिए बताया गया था।	I was asked to give you a message.
कृपया हल्की आवाज़ में बात कीजिए।	Please speak in a low voice.
तुम्हारे पास आज समय है क्या?	Are you busy today?
मेरी एक पुराने दोस्त से मुलाक़ात हुई।	I ran into an old friend.
चोर ने पुलिस को उसको पकड़ने के लिए गाली दी।	The thief cursed the police for finding him.
तुम कभी कनाडा गए हो क्या?	Have you ever been to Canada?
तुम राज़ रख सकते हो क्या?	Can you keep a secret?
उसने मेरे लिए टेक्सी बुलवाई।	He called me a taxi.
ताज़ी सब्ज़ियाँ स्वास्थ्य के लिए अच्छी होतीं हैं।	Fresh vegetables promote health.
ताज़ी सब्ज़ियाँ सेहत के लिए अच्छी होतीं हैं।	Fresh vegetables promote health.
हम सब टॉम के लिए दुःखी थे।	We all felt sorry for Tom.
हमे पर्यावरण के प्रदूषण को रोकने का प्रयास करना चाहिए।	We ought to do our best not to pollute our environment.
अच्छा होगा कि तुम इस बुरे मौसम में बाहर न जाओ।	You had better not go out in this bad weather.
क्या आप हमारे साथ खाना खाने नहीं आएंगे?	Won't you come to dine with us?
मैंने उसे दस डॉलर के लिए बेच दिया।	I sold it for ten dollars.
मुझे नींद आ गई।	I got very sleepy.
चोर अंत में तो पकड़ा ही जाएगा।	The thief is certain to be caught eventually.
मुझे अब चाबी मिल सकती है क्या?	Can I have the key now, please?
उस किताब को पुस्तकालय को लौटाना मत भूलना।	Don't forget to return the book to the library.
मेरी तुम्हारे लिए यह सलाह है कि अपने दोस्तों से पैसे उधार मत लो।	I advise you not to borrow money from your friends.
वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।	I don't care what they say.
तुम आज सुबह देर से क्यों आए?	Why were you late this morning?
उसने अपने ही घर को आग लगा दी।	He set fire to his own house.
तुम्हे मुझे माफ़ करना होगा।	You must forgive me.
उस लड़के ने एक मुट्ठीभर मूँगफलियाँ लीं और उन्हें एक छोटे से डब्बे में डाल दिया।	The boy gathered a handful of peanuts and put them in a small box.
टॉम खुद को रोने से रोक न सका।	Tom couldn't help but cry.
उस सिनेमा हॉल में हमेशा अच्छी फ़िल्में लगतीं हैं।	That movie theater always shows good movies.
उसने दरवाज़े पर खटखटाया।	He knocked at the door.
मुझे बाहर जाने दो!	Let me out!
तुम्हें कुत्ते को बांध देना चाहिए जिससे कि वह किसी को काट न ले।	You had better chain up the dog so that he won't bite.
मुझसे कोई भी सवाल पूछने में न हिचकिचाएँ।	Please don't hesitate to ask me any questions.
मेरे पिता मेरे विदेश जाने से राज़ी थे।	My father consented to my going abroad.
हमने दरवाज़े को हरे रंग से पोत दिया।	We painted the door green.
ये सेब बहुत बड़े हैं।	These are very big apples.
मुझे एक जरूरी कॉल करनी है ।	I have an important call to make.
मैं आपका पासपोर्ट देख सकता हूँ क्या?	May I see your passport, please?
उसने तुम्हें कुछ बताया क्या?	Did he tell you anything?
एयरपोर्ट के रास्ते पर गाड़ी खराब हो गई।	The car broke down on the way to the airport.
मेरी उसके साथ पहली मुलाकात लंदन में हुई थी।	I met her in London for the first time.
यहाँ पर कल फिर मिलते हैं।	Let's meet here again tomorrow.
कमरे से निकलने से पहले, कृपया बत्तियाँ बंद कर दीजिएगा।	When you leave the room, please make sure you turn off the lights.
तुम्हारे पास पेनसिल है क्या?	Do you have a pencil?
तुम्हारे पास चावल है क्या?	Do you have rice?
बहुत कम लोग थे जो वहाँ नहीं गए।	Only a few people didn't go there.
उन्होंने मदद के लिए आवाज़ लगाई।	They shouted for help.
तुम्हारे पास कलम है क्या?	Do you have a pen on you?
मैं घंटों तक उस चाबी को ढूँढता रहा जिसे मैंने गिरा दिया था।	I spent hours looking for the key that I had dropped.
वे मेरा विश्वास नहीं करेंगे चाहे मैं कसम भी क्यों न खालूँ।	They won't believe me even if I swear it is true.
उसने मुझपर आलसी होने के लिए गुस्सा किया।	She reproached me for being lazy.
उसकी मेरे लिए सलाह यह थी कि मैं ज़्यादा मन लगाकर काम करूँ।	Her advice to me was to work harder.
मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।	In order to stay awake I may have to drink more coffee.
तुम्हारे पास कोक-शोक है क्या?	Do you have any soft drinks?
तुम इन दो तस्वीरों में अंतर बता सकते हो?	Can you tell the difference between these two pictures?
शांति से खड़े रहो।	Stand still and keep silent.
थक गए हो क्या?	Are you tired?
यहाँ पर कोई अंग्रेज़ी बोलता है क्या?	Does anyone here speak English?
बत्तियाँ पूरी रात से जल रहीं हैं।	The lights have been burning all night.
क्या तुम्हे लगता है वह फिरसे प्रेसीडेंट चुना जाएगा?	Do you think he will be elected president again?
इतना शोर था कि किसी को भी मेरी आवाज़ सुनाई नहीं दे रही थी।	It was so noisy that I couldn't make myself heard.
तुम विदेश जाना चाहती हो क्या?	Would you like to go abroad?
तुम मुझे पाँच सौ येन उधार दे सकते हो क्या?	Can you lend me 500 yen?
तुम्हे स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है?	How long has it been since you gave up teaching at that school?
हम बात कर सकते हैं क्या?	Can we have a talk?
मुझे नीला वाला पसंद है, कितने का है?	I like the blue one. How much does it cost?
मेरी कल मेरे भाई के साथ लड़ाई हुई थी।	I had a fight with my older brother yesterday.
तुमको लोगों कि पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।	You should not speak ill of others behind their backs.
उस लड़की ने अपने आँसुओं को रोकने की बहुत कोशिश करी।	The girl tried hard to hold back her tears.
हम सब नाश्ते के समय बहुत खुश थे।	We were all very happy at breakfast.
उसने अपने देश को धोखा दे दिया।	He betrayed his country.
उसने मुझे दो किताबें उधार दीं।	He lent me two books.
उसको कहानी पहले से ही पता थी।	She knew the story already.
क्या यह अफ़वाह सच हो सकती है?	Can the rumor be true?
तुम दोनो क्या कर रहे थे?	What're you two doing?
मुझे तुम्हें घर लेजाने दो।	Let me take you home.
इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।	The voyage from England to India used to take 6 months.
वहाँ पहुँचने में कितनी देर लगेगी?	How long will it take to get there?
उसने मुझसे जल्द-से-जल्द उत्तर देने के लिए कहा।	He pressed me for a prompt reply.
मैं हर सुबह छः बजे उसको उठाती हूँ।	I wake him at six every morning.
वह मुर्झाई हुई पत्तियों को गिरते हुए देख रही थी।	She was watching the dead leaves fall.
मैं अपना कर्ज़ जल्द-से-जल्द चुकताऊँगा।	I will pay my debt as soon as possible.
पापा फूलों को पानी दे रहे हैं।	Father is watering flowers.
मैं उस गाड़ी की रफ़तार देखकर हैरान रह गया।	I was amazed at the speed of the car.
समिति के अधिकांश सदस्यों ने बिल के पारित होने के खिलाफ़ मत दिया।	The majority of the committee voted against the bill.
हम उसके घर के सामने मिलेंगे।	We are to meet in front of his house.
क़ैदी को रिहा कर दिया गया।	The prisoner was released.
उन दिनों के सिवाय जब बारिश हो रही होती है, मैं साईकल चलाकर काम पर जाता हूँ।	I go to the office by bicycle except on rainy days.
काश मुझे यह जवाब कल पता होता!	If only I had known the answer yesterday!
ये चिड़ियाँ हैं।	These are birds.
मैं घर पहुँचते ही तुम्हें फ़ोन करूँगी।	I will give you a call as soon as I get home.
मैं सेव खा रहा हूँ ।	I am eating an apple.
क्या यह वह ऐनक है जिसे आप ढूँढ रहे थे ?	Are these the glasses you were looking for?
उसने अपने बच्चों को अच्छी शिक्षा दी।	He gave his children a good education.
तुम्हारे घर का फ़ोन नम्बर क्या है?	What's your home phone number?
आप मुझे नियम समझा सकते हैं क्या?	Would you please explain the rules to me?
मेरा एक भाई और दो बहनें हैं।	I've got one brother and two sisters.
हम युद्ध का विरोध करते हैं।	We are against war.
यहाँ कैफ़े है क्या?	Is there a cafe?
वह अपना काम खतम करते ही घर चला गया।	As soon as he finished his work, he went home.
अगर हो सके तो मैं विष्व यात्रा पर जाना चाहूँगा।	If possible, I'd like to travel around the world.
तुम हमेशा लोगों की बुराई करने को तैयार रहते हो।	You are too ready to speak ill of others.
हमारी पिछली मुलाक़ात से अब दस साल हो गए हैं।	It's been ten years since we last met.
कुछ लोग संविधान को सुधारना चाहते हैं।	Some people want to amend the constitution.
यह दवाई दर्द को दूर कर देगी।	This medicine will take the pain away.
उसने विस्तृत रूप से अपनी योजना समझाई।	He explained his plans in detail.
उन्होंने ज़्यादा मेहनत से काम करने का इरादा किया।	They resolved to work harder.
मैंने उसके रोने की याद को भुला देने की कोशिश करी।	I tried to erase the memory of her crying.
तुम वहाँ बस से जाते हो या गाड़ी से?	Do you go there by bus or by car?
उसने उनको क़ैदियों को छोड़ने का आदेश दिया।	He ordered them to release the prisoners.
नई सरकार ने देश को भ्रष्टाचार से मुक्त करने का वादा किया।	The new government promised to rid the country of corruption.
तुम यहाँ पहले आए हुए हो क्या?	Have you been here before?
टॉम ने इंजन को चालू कर दिया।	Tom started the engine.
अगर कोई आए तो उनसे कहना कि मैं बाहर गया हूँ।	Tell whoever comes that I'm out.
डब्बे में कुछ सेव सड़े हुए थे।	Some of the apples in the box were rotten.
उसके सामने इसके बारे में बात मत करो।	Don't talk about it in front of him.
खाना खाने के बाद दाँतों को साफ़ करो।	Brush your teeth after meals.
क्या आपको लगता है कि हमे अम्रीका से चावल का आयात करना चाहिए?	Do you think we should import rice from the U.S.?
मेरे पिताजी कैंसर से चल बसे।	My father died of cancer.
हम अच्छे दोस्त हैं।	We are good friends.
और एक बार।	Once again.
तुम यहाँ से पूरा शहर देख सकते हो।	You can see the whole city from here.
उसने आसमान की तरफ़ देखा।	He looked up at the sky.
"मेरे लिए उससे ""ना"" कहना बहुत मुश्किल था।"	It was hard for me to refuse his request.
मैं हर रविवार अपना कमरा साफ़ करता हूँ।	I clean up my room every Sunday.
कल जिसने खिड़की तोड़ी थी वह टॉम था।	It was Tom that broke the window yesterday.
उसकी राष्ट्रीयता क्या है?	What is his nationality?
आखिरकार उसको उसकी ग़लतियाँ समझ में आईं।	At last, he realized his mistakes.
ग्यारह बज चुके हैं। मुझे चलना चाहिए।	It's already eleven o'clock. I must be leaving now.
तैवान में रहते समय मेरी उससे दोस्ती हुई।	I became friends with him while I was in Taiwan.
उसकी माँ खाना बनाने में लगी हुई थी।	Her mother was busy cooking the dinner.
मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।	I wish to go to Paris to study art.
पतंग पेड़ में जाकर अटक गई।	The kite got caught in the tree.
मुझे ये कल तक खतम करना है ।	I've been given until tomorrow to finish this.
यह काम दोपहर तीन बजे से पहले खतम हो जाना चाहिए।	The job must be finished by 3 p.m.
यह एक अच्छा अखबार है ना?	This is a good newspaper, isn't it?
वे सारी दिशाओं में फैले हुए थे।	They were scattered in all directions.
क्या तुम्हें यह किताब पसंद है ?	Do you like this book?
हम जब तक अपना स्वास्थ्य नहीं खो देते हैं तब तक उसकी असली कीमत नहीं पहचानते हैं।	It is not till we lose our health that we realize its true value.
उसने लिफ़ाफ़े को काटकर खोल दिया।	He cut the envelope open.
मुझे नौवे महीने का नाम बताओ।	Tell me the name of the ninth month.
संभवतः वह विख्यात कभी नहीँ हो पाएगा।	Perhaps he will never be famous.
टॉम ने उसे आग से बचा लिया।	Tom saved her from the fire.
तुम यहाँ सारे के सारे पेड़ काट डालोगे क्या?	Are you going to cut down all the trees here?
खाना खाने के बाद दाँतों को ब्रश करो।	Brush your teeth after meals.
पुलीस ने टॉम को गिरफ़्तार किया क्या?	Did the police arrest Tom?
आंकरेज होते हुए मैं युरोप गया।	I went to Europe by way of Anchorage.
उसे सब पसंद करते हैं।	Everybody likes him.
तुम्हे इस बात के लिए मुझसे माफ़ी माँगनी चाहिए।	You owe me an apology for that.
मेरी जीन्स पैंट धुलाई में सिकुड़ गई।	My jeans shrank in the wash.
वह जेब काटते हुए पकड़ा गया।	He was caught in the act of pickpocketing.
उसने यह किताब कल पढ़ी थी।	He read this book yesterday.
वह पहली बार पैरिस गई थी।	She went to Paris for the first time.
आपको मुझे क्षमा करना होगा।	You must forgive me.
उसने अपनी पत्नी को उसे सुबह सात बजे उठाने की बात का याद दिलाया।	He reminded his wife to wake him up at 7:00 a.m.
मैंने नदी में छलाँग लगाकर डुबकी ली।	I dove into the river.
उन्होंने एक-दूसरे को देखा।	They looked at each other.
मुझे आपसे मिलकर बहुत खुशी हुई।	I'm very happy to make your acquaintance.
